,Title,Type,Language,Creator,Year,Emotion,Genre,Combined_text
0,Atomic Habits,book,English,James Clear,,Motivation,Self-help,"Motivation Self-help Atomic Habits Small habits, big results"
1,You Can Win,book,English,Shiv Khera,,Motivation,Self-help,Motivation Self-help You Can Win Practical life success tips
2,Adhuvum Idhuvum (அதுவும் இதுவும்),book,Tamil,Sujatha,,Motivation,Essay Collection,Motivation Essay Collection Adhuvum Idhuvum (அதுவும் இதுவும்) Inspiring tech & life essays
3,Vaazhkai Oru Vazhiyagam (வாழ்க்கை ஒரு வழியாகம்),book,Tamil,Bharathiyar (compilation),,Motivation,"Poetry, Essays","Motivation Poetry, Essays Vaazhkai Oru Vazhiyagam (வாழ்க்கை ஒரு வழியாகம்) Freedom fighter’s thoughts on self-respect"
4,The Monk Who Sold His Ferrari,book,English,Robin Sharma,,Motivation,Fictional Self-help,Motivation Fictional Self-help The Monk Who Sold His Ferrari Story-driven wisdom on life purpose
5,Please Intha Book Ah Vangathinga,book,Tamil,Gopinath,,Motivation,Inspirational Essays,"Motivation Inspirational Essays Please Intha Book Ah Vangathinga Life lessons from real stories, practical wisdom"
6,More Days at Morisaki Bookshop,book,English,Satoshi Yagisawa,,"Happy, Peaceful",Slice of Life,"Happy, Peaceful Slice of Life More Days at Morisaki Bookshop A bookshop that brings healing and calm"
7,Srirangathu Devathaigal (ஸ்ரீரங்கத்து தேவதைகள்),book,Tamil,Charu Nivedita,,"Happy, Nostalgic",Memoir / Satire,"Happy, Nostalgic Memoir / Satire Srirangathu Devathaigal (ஸ்ரீரங்கத்து தேவதைகள்) Childhood tales from Srirangam"
8,The Alchemist,book,English,Paulo Coelho,,"Happy, Inspirational",Adventure / Allegory,"Happy, Inspirational Adventure / Allegory The Alchemist A shepherd follows his dream to find treasure"
9,Ponniyin Selvan,book,Tamil,Kalki,,"Happy (some parts), Love, Royal Intrigue",Historical Fiction,"Happy (some parts), Love, Royal Intrigue Historical Fiction Ponniyin Selvan Moments of joy, love, and victory amid royal chaos"
10,Kalki Short Stories Collection,book,Tamil,Kalki,,"Happy, Feel-good",Short Stories,"Happy, Feel-good Short Stories Kalki Short Stories Collection Wholesome and humorous stories of old Tamil life"
