Title,Artist(s),Composer,Lyricist,Year,Emotion,Genre,Movie
Ilaya Nila Pozhigiradhu,S. P. Balasubrahmanyam,Ilaiyaraaja,Vairamuthu,1982,"Love, Calm",Melody,Payanangal Mudivathillai
Sundari Kannal Oru Sethi,S. P. Balasubrahmanyam,Ilaiyaraaja,Vairamuthu,1987,Romantic,Melody,Thalapathi
Mandram Vantha Thendralukku,K. J. Yesudas,Ilaiyaraaja,Vairamuthu,1986,"Love, Longing",Melody,Mouna Ragam
Naan Paadum Mouna Ragam,S. Janaki,Ilaiyaraaja,Vairamuthu,1986,Sad,Melody,Mouna Ragam
Vetti Veru Vasam,Malaysia Vasudevan,Ilaiyaraaja,Gangai Amaran,1981,Motivational,Folk,Thooral Ninnu Pochu
Raja Raja Chozhan Naan,P. Susheela,M. S. Viswanathan,Kannadasan,1973,"Pride, Devotion",Classical,Raja Raja Chozhan
Kanne Kalaimane,K. J. Yesudas,Ilaiyaraaja,Kannadasan,1982,"Emotional, Love",Melody,Moondram Pirai
Aayiram Nilave Vaa,S. P. Balasubrahmanyam,Ilaiyaraaja,Panchu Arunachalam,1983,Love,Melody,Adutha Varisu
Oru Iniya Manathu,"S. Janaki, S. P. B",Ilaiyaraaja,Vaali,1982,Romantic,Melody,Johny
Poomalaiye Thol Serava,K. J. Yesudas,Ilaiyaraaja,Muthulingam,1985,Heartbreak,Melody,Pagal Nilavu
Vaseegara,Bombay Jayashri,Harris Jayaraj,Thamarai,2001,"Romantic, Calm",Melody,Minnale
Ennai Konjam Maatri,"Shankar Mahadevan, Harini",Harris Jayaraj,Thamarai,2005,Romantic,Melody,Kaakha Kaakha
Suttum Vizhi Chudar,"Hariharan, Sadhana Sargam",Harris Jayaraj,Vairamuthu,2004,"Love, Devotion",Melody,Ghajini
Oru Deivam Thantha Poove,K. S. Chithra,Harris Jayaraj,Thamarai,2005,"Sad, Emotional",Melody,Kannathil Muthamittal
Roja Roja,Shankar Mahadevan,A. R. Rahman,Vairamuthu,2002,"Romantic, Longing",Melody,Kadhalar Dhinam
Kadhal Sadugudu,S. P. B. Charan,Harris Jayaraj,Vaali,2001,"Flirty, Fun",Pop,Alaipayuthey
Uyire Uyire,"Hariharan, K. S. Chithra",A. R. Rahman,Vairamuthu,2000,"Intense, Romantic",Melody,Bombay
Munbe Vaa,"Shreya Ghoshal, Naresh Iyer",A. R. Rahman,Na. Muthukumar,2005,"Love, Longing",Melody,Sillunu Oru Kaadhal
Suttum Vizhi,Hariharan,Harris Jayaraj,Vairamuthu,2005,Pure Love,Melody,Ghajini
July Maadham,"Hariharan, Sujatha",A. R. Rahman,Vairamuthu,2000,"Flirtatious, Nostalgic",Pop,Pudhiya Mugam
Ennavale Adi Ennavale,S. P. Balasubrahmanyam,A. R. Rahman,Vairamuthu,1994,"Romantic, Longing",Melody,Kadhalan
Kannalanae,K. S. Chithra,A. R. Rahman,Vairamuthu,1998,"Pure Love, Devotion",Melody,Bombay
Uyire Uyire,"Hariharan, K. S. Chithra",A. R. Rahman,Vairamuthu,1995,"Intense Love, Sacrifice",Melody,Bombay
Poovukkul Olinthirukkum,"Unnikrishnan, Sujatha",A. R. Rahman,Vairamuthu,1998,"Love, Hope",Melody,Jeans
Strawberry Kanne,S. P. B. Charan,Deva,Vaali,1997,"Playful, Love",Pop,Minsara Kanavu
Roja Roja,S. P. Balasubrahmanyam,A. R. Rahman,Vairamuthu,1992,"Longing, Passion",Melody,Roja
Netru Illadha Maatram,Hariharan,A. R. Rahman,Vairamuthu,1993,"Hope, Sadness",Melody,Pudhiya Mugam
Kalyana Then Nila,S. P. Balasubrahmanyam,Ilaiyaraaja,Vaali,1992,"Joyful, Romantic",Melody,Mounam Sammadham
Chinna Chinna Aasai,Minmini,A. R. Rahman,Vairamuthu,1992,"Dreams, Feel-good",Melody,Roja
Vennilavae Vennilavae,"Hariharan, Sadhana Sargam",A. R. Rahman,Vairamuthu,1995,"Romantic, Calm",Melody,Minsara Kanavu
Annul Maelae Panithuli,Hariharan,Harris Jayaraj,Thamarai,2008,"Sad, Longing",Melody,Vaaranam Aayiram
Mundhinam Partheney,Naresh Iyer,Harris Jayaraj,Thamarai,2008,"Romantic, Playful",Melody,Vaaranam Aayiram
Adiye Kolluthey,"Benny Dayal, Shruti Haasan",Harris Jayaraj,Na. Muthukumar,2008,"Energy, Love",Pop/Rock,Vaaranam Aayiram
Engeyum Eppothum,S. P. Balasubrahmanyam,Harris Jayaraj,Na. Muthukumar,2008,"Hopeful, Love",Melody,Vaaranam Aayiram
Nenjukkul Peidhidum,"Hariharan, Devan, Prasanna",Harris Jayaraj,Thamarai,2008,Soft Romance,Melody,Vaaranam Aayiram
Kangal Irandal,"Bellie Raj, Deepa Mariam",James Vasanthan,Yugabharathi,2008,"Sweet Love, Gentle",Melody,Subramaniapuram
Suttum Vizhi Sudar,Hariharan,Harris Jayaraj,Vairamuthu,2005,"Romantic, Devotional",Melody,Ghajini
Oru Kal Oru Kannadi,Yuvan Shankar Raja,Yuvan Shankar Raja,Na. Muthukumar,2008,"Flirty, Cute",Pop,Siva Manasula Sakthi
Neeyum Naanum,Karthik,Yuvan Shankar Raja,Na. Muthukumar,2009,"Heartbreak, Longing",Melody,Naan Mahaan Alla
Hasili Fisiliye,"Karthik, Shreya Ghoshal",A. R. Rahman,Pa. Vijay,2010,"Romantic, Breezy",Pop,Aadhavan
